id,name,imageUrl,startDatetime,endDatetime,venue,block,delayed,expectedStartTime,notification,team1,team2,category
1,Basketball,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-15T13:00,2024-06-15T14:30,Main Court,Block A,No,,Yes,Raman,Ramanuja,Sports
2,Volleyball,https://images.unsplash.com/photo-1519244703995-f4e0f30006d5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-21T09:00,2024-06-21T11:30,Beach Arena,Block B,No,,Yes,Raman,Ramanuja,Sports
3,Football,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-28T17:00,2024-06-28T18:30,Stadium,Block C,No,,Yes,Raman,Ramanuja,Sports
4,Table Tennis,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-30T13:00,2024-06-30T14:30,Indoor Hall,Block D,No,,Yes,Raman,Ramanuja,Sports
5,Dance Mob,https://images.unsplash.com/photo-1519244703995-f4e0f30006d5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-15T14:00,2024-06-15T14:30,Main Square,Block E,No,,Yes,Raman,Ramanuja,Cultural
6,Cricket,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-17T13:00,2024-06-17T14:30,Cricket Ground,Block F,No,,Yes,Charaka,Bhaba,Sports
7,Singing,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-21T13:00,2024-06-21T14:30,Auditorium,Block G,No,,Yes,Raman,Ramanuja,Cultural
8,Table Tennis,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-27T13:00,2024-06-27T14:30,Indoor Hall,Block D,No,,Yes,Raman,Ramanuja,Sports
9,Basketball,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-12T13:00,2024-06-12T14:30,Main Court,Block A,No,,Yes,Raman,Ramanuja,Sports
10,Cricket,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-14T13:00,2024-06-14T14:30,Cricket Ground,Block F,No,,Yes,Raman,Ramanuja,Sports
